FACILITY_TYPE,FACILITY_NAME,LOCATION,LAT,LONG
Soccer pitches,Seagrange Park,,53.3960183001863,-6.13543658163634
Soccer pitches,Seagrange Park,Baldoyle,53.3950396442173,-6.1358101939479
Soccer pitches,Seagrange Park,,53.3923690428337,-6.13478697030993
GAA Pitches,Balrothery Park,Balrothery ,53.5842587186935,-6.19133130165668
Soccer pitches,St. Catherines,,53.3667576285142,-6.47043430357714
Soccer pitches,St. Catherines,,53.3666957677986,-6.46922405311142
Soccer pitches,St. Catherines,,53.3661192018841,-6.46420051624575
Tennis Courts,Seagrange Park,,53.3924305120341,-6.13627665607428
GAA Pitches,St. Catherines,"St. Catherines Demesne, Lucan",53.3711170322279,-6.46750304531701
GAA Pitches,Hazelbury Park,Castaheany,53.401055350055,-6.42839686946297
Soccer pitches,Porterstown Park,Porterstown,53.3700809031924,-6.40425938637453
Soccer pitches,Robswall,Malahide,53.4418690708661,-6.13572668724154
Soccer pitches,Balheary  Reservoir,Swords,53.47199227978,-6.22303389154358
